#time,s ray1,V ray2,V
#
4.559999999999999031e-05 3.521649500000000044e-02 6.548587125499999093e-03
4.640000000000000298e-05 3.609139500000000528e-02 1.541366000000000090e-02
4.719999999999998855e-05 3.576602999999999033e-02 2.648297999999999625e-02
4.799999999999998089e-05 3.547582999999999986e-02 3.443042000000000324e-02
4.880000000000000711e-05 3.490429499999999491e-02 3.629654499999999950e-02
4.959999999999999267e-05 3.515933999999999726e-02 3.745140500000000705e-02
5.039999999999999179e-05 3.595951499999999745e-02 3.788168500000000521e-02
5.119999999999998413e-05 3.608260499999999676e-02 3.735909999999999925e-02
5.199999999999999680e-05 3.588482499999998826e-02 3.765774499999999247e-02
5.279999999999999592e-05 3.511977499999999891e-02 3.659082999999999780e-02
5.359999999999999503e-05 3.483829500000000523e-02 3.643715999999999622e-02
5.440000000000000093e-05 3.581879000000000313e-02 3.802227000000001078e-02
5.519999999999998649e-05 3.639917499999999195e-02 3.784222999999999754e-02
5.599999999999999916e-05 3.591991499999998977e-02 3.720115000000000227e-02
5.679999999999997795e-05 3.533957999999999544e-02 3.729768499999999709e-02
5.759999999999999062e-05 3.504501000000000144e-02 3.690684000000000325e-02
5.840000000000000329e-05 3.536597500000000782e-02 3.702540500000000429e-02
5.919999999999998885e-05 3.603429499999999397e-02 3.787729999999998876e-02
5.999999999999999474e-05 3.607389500000000165e-02 3.726254500000000802e-02
6.080000000000000741e-05 3.558585499999999957e-02 3.683221999999999885e-02
6.159999999999999298e-05 3.512415500000000412e-02 3.729326500000000599e-02
6.239999999999997177e-05 3.532636000000000109e-02 3.685850499999999974e-02
6.320000000000001832e-05 3.586712999999998319e-02 3.728884500000000102e-02
6.399999999999999710e-05 3.608697999999999073e-02 3.772798000000000818e-02
6.479999999999997589e-05 3.588039500000000243e-02 3.689808000000000671e-02
6.560000000000002244e-05 3.520332000000000322e-02 3.682780500000000512e-02
6.640000000000000123e-05 3.532198499999999325e-02 3.756111500000000603e-02
6.719999999999998002e-05 3.572646999999999629e-02 3.695516000000000079e-02
6.799999999999999946e-05 3.557260999999999757e-02 3.685413499999999620e-02
6.880000000000000536e-05 3.578801499999999247e-02 3.782456999999999486e-02
6.959999999999999770e-05 3.557259000000000115e-02 3.688927500000001303e-02
7.039999999999997649e-05 3.493947499999999762e-02 3.640624999999999417e-02
7.120000000000000948e-05 3.530434999999999823e-02 3.712205000000000366e-02
7.200000000000000182e-05 3.594623999999999736e-02 3.701670500000000391e-02
7.279999999999998061e-05 3.559447500000000042e-02 3.688939000000000801e-02
7.359999999999998651e-05 3.540106999999999282e-02 3.720992499999999786e-02
7.440000000000000595e-05 3.543632000000000032e-02 3.648973000000001188e-02
7.519999999999998474e-05 3.515491999999999922e-02 3.620867500000000266e-02
7.599999999999999063e-05 3.559459999999999708e-02 3.739865500000000287e-02
7.680000000000001008e-05 3.595077499999999732e-02 3.714839000000001029e-02
7.759999999999998887e-05 3.535719500000000792e-02 3.676201999999999942e-02
7.840000000000000831e-05 3.500543999999999878e-02 3.716594500000001272e-02
7.919999999999998710e-05 3.540120500000001197e-02 3.669161500000000381e-02
7.999999999999999299e-05 3.559904999999999320e-02 3.639302500000000939e-02
8.080000000000001244e-05 3.575290500000000843e-02 3.722299500000000178e-02
8.159999999999999123e-05 3.568254499999999607e-02 3.696836000000000566e-02
8.239999999999999712e-05 3.503614000000000034e-02 3.607253500000000279e-02
8.320000000000001656e-05 3.518128499999999270e-02 3.689361500000000460e-02
8.399999999999999535e-05 3.572660500000000156e-02 3.692443500000000545e-02
8.479999999999997414e-05 3.568697500000000272e-02 3.641518000000000532e-02
8.559999999999999359e-05 3.566928499999999502e-02 3.725820999999999994e-02
