,Y-stress
Time,Sh-3000,Sh-5525,
    0.0000000000e+00,    0.0000000000e+00,    0.0000000000e+00,
    9.1173802502e-04,    0.0000000000e+00,    0.0000000000e+00,
    1.9146499690e-03,    0.0000000000e+00,    0.0000000000e+00,
    2.9175600503e-03,    0.0000000000e+00,    0.0000000000e+00,
    3.9204698987e-03,    0.0000000000e+00,    0.0000000000e+00,
    4.9233799800e-03,    0.0000000000e+00,    0.0000000000e+00,
    5.9262900613e-03,    0.0000000000e+00,    0.0000000000e+00,
    6.9292099215e-03,    0.0000000000e+00,    0.0000000000e+00,
    7.9321200028e-03,    0.0000000000e+00,    0.0000000000e+00,
    8.9350296184e-03,    0.0000000000e+00,    0.0000000000e+00,
    9.9379401654e-03,    0.0000000000e+00,    0.0000000000e+00,
    1.0940900072e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.1943800375e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.2946699746e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.3949600048e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.4952500351e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.5955399722e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.6958300024e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.7961200327e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.8964100629e-02,    0.0000000000e+00,    0.0000000000e+00,
    1.9967099652e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.0969999954e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.1972900257e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.2975800559e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.3978700861e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.4981599301e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.5984499604e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.6987399906e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.7990300208e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.8993299231e-02,    0.0000000000e+00,    0.0000000000e+00,
    2.9996199533e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.0999099836e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.1910799444e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.2913699746e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.3916600049e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.4919600934e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.5922501236e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.6925401539e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.7928301841e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.8931198418e-02,    0.0000000000e+00,    0.0000000000e+00,
    3.9934098721e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.0936999023e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.1939899325e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.2942799628e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.3945800513e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.4948700815e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.5951601118e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.6954501420e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.7957401723e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.8960298300e-02,    0.0000000000e+00,    0.0000000000e+00,
    4.9963198602e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.0966098905e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.1968999207e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.2972000092e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.3974900395e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.4977800697e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.5980700999e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.6983601302e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.7986501604e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.8989398181e-02,    0.0000000000e+00,    0.0000000000e+00,
    5.9992298484e-02,    0.0000000000e+00,    0.0000000000e+00,
    6.0995198786e-02,    0.0000000000e+00,    0.0000000000e+00,
    6.1998199672e-02,    0.0000000000e+00,    0.0000000000e+00,
    6.2909901142e-02,    0.0000000000e+00,    0.0000000000e+00,
    6.3912801445e-02,    0.0000000000e+00,    0.0000000000e+00,
